id;artist_name;track_name;release_date;genre;danceability;energy
18129;kanye west;black skinhead;2013;pop;0.772554965883245;0.8238183214530823
18218;twenty one pilots;screen;2013;pop;0.7108198851944114;0.7147058046257301
18233;bts;we are bulletproof pt.2;2013;pop;0.7498104624715695;0.9529514835698571
18348;disclosure;help me lose my mind;2014;pop;0.7779703238384058;0.7086996110389032
18355;wiz khalifa;kk (feat. project pat & juicy j);2014;pop;0.702155312466154;0.7997935471057754
18382;revolver cannabis;el de los lentes carrera (bonus track);2014;pop;0.7108198851944114;0.7197109659480857
18417;azealia banks;212;2014;pop;0.8191270442976281;0.7697625791716417
18457;james bay;hold back the river;2014;pop;0.7075706704213148;0.7157068368902011
18463;pitbull;time of our lives;2014;pop;0.7129860283764757;0.8027966438991888
18472;sam hunt;house party;2014;pop;0.7422289613343442;0.8618575475029849
18484;iggy azalea;fancy;2014;pop;0.9209357738546519;0.7167078691546722
18509;aronchupa;i'm an albatraoz;2014;pop;0.889526697714719;0.8178121278662557
18531;meghan trainor;all about that bass;2014;pop;0.811545543160403;0.8798761282634652
18559;wiz khalifa;we dem boyz;2014;pop;0.7097368136033794;0.8628585797674561
18610;fetty wap;rgf island;2015;pop;0.7411458897433121;0.7647574178492861
18648;drake;10 bands;2015;pop;0.837539261345175;0.756749159733517
18671;one direction;drag me down;2015;pop;0.7162352431495722;0.7117027078323166
18672;yo gotti;fuck you (feat. meek mill);2015;pop;0.7184013863316365;0.722714062741499
18691;wiz khalifa;king of everything;2015;pop;0.7541427488356981;0.756749159733517
18713;logic;i am the greatest;2015;pop;0.8007148272500813;0.8158100633373133
18716;logic;like woah;2015;pop;0.7097368136033794;0.9079050316686567
18730;twice;ooh-ahh?? like ooh-ahh;2015;pop;0.7129860283764757;0.8768730314700517
18776;g-eazy;forbes;2015;pop;0.7422289613343442;0.7827759986097663
18789;fifth harmony;worth it;2015;pop;0.8906097693057512;0.7657584501137572
18813;melanie martinez;pity party;2015;pop;0.7086537420123471;0.730722320857268
18841;shawn mendes;stitches;2015;pop;0.7411458897433121;0.7547470952045748
18851;willow;wait a minute!;2015;pop;0.7530596772446659;0.7076985787744322
18856;maroon 5;maps;2015;pop;0.7368136033791834;0.7137047723612588
18861;major lazer;lean on;2015;pop;0.7162352431495722;0.8098038697504867
18866;rihanna;bitch better have my money;2015;pop;0.7758041806563415;0.7417336757664503
18880;sheppard;geronimo;2015;pop;0.7043214556482185;0.763756385584815
18907;fifth harmony;bo$$;2015;pop;0.8137116863424673;0.8728689024121673
18951;quinn xcii;ffyl;2015;pop;0.71515217155854;0.7627553533203438
18967;selena gomez;kill em with kindness;2015;pop;0.7530596772446659;0.8848812895858208
19028;kanye west;fade;2016;pop;0.7519766056536337;0.7667594823782282
19029;bruno mars;perm;2016;pop;0.857034549983754;0.8718678701476962
19093;logic;flexicution;2016;pop;0.7693057511101484;0.7016923851876053
