id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
5172;pete townshend;the real me;1973;pop;0.6480017329145458;0.7088685485731866;0.9350783182192909;0.706697546509961
5193;helen reddy;leave me alone (ruby red dress);1973;pop;0.6339218022311276;0.6963823295643924;0.818631492168178;0.7076985787744322
5226;wings;little woman love;1973;pop;0.7129860283764757;0.6114401456298233;0.8876751854905194;0.6356242557325114
5227;strawbs;part of the union;1973;pop;0.6133434420015164;0.6942799271850882;0.9062242374278648;0.7107016755678455
5319;electric light orchestra;don't bring me down;1973;pop;0.6263403010939024;0.7480450221777811;0.7949299258037923;0.878875095998994
5361;suzi quatro;48 crash;1973;pop;0.6295895158669989;0.6936645899033407;0.870156636438582;0.7657584501137572
5365;roxy music;the bogus man;1973;pop;0.6490848045055778;0.7739148270645847;0.7093981863149217;0.7717646437005838
5394;stealers wheel;star;1973;pop;0.6155095851835807;0.7569161346563085;0.6949711459192084;0.7337254176506813
5511;the hollies;falling calling;1974;pop;0.7064875988302828;0.6480783529472092;0.9670239076669415;0.7177089014191435
5544;the cats;be my day;1974;pop;0.6090111556373877;0.6227469681819346;0.9515663643858203;0.6065943200628487
5545;bay city rollers;you made me believe in magic;1974;pop;0.6220080147297737;0.7327641463477168;0.8526380873866446;0.8598554829740428
5555;sparks;talent is an asset;1974;pop;0.611177298819452;0.6794861933697407;0.8732481450948062;0.6616510946087604
5579;barry manilow;new york city rhythm;1974;pop;0.6350048738221598;0.6962541342973617;0.7825638911788952;0.9129101929910123
5594;bonnie raitt;you got to be ready for love (if you wanna be mine);1974;pop;0.6512509476876421;0.7463272055995692;0.8392415498763396;0.8068007729570732
5597;van morrison;ain't nothin' you can do;1974;pop;0.6415033033683527;0.7190985308822397;0.6774525968672711;0.8628585797674561
5712;roxy music;three and nine;1974;pop;0.6014296545001625;0.6590775068584467;0.7248557295960427;0.6556449010219337
5753;paul anka;one man woman/one woman man;1974;pop;0.6815769522365428;0.7180729687459938;0.8856141797197032;0.7677605146426995
5772;gladys knight & the pips;make yours a happy home;1974;pop;0.6804938806455106;0.7182268030664307;0.9402308326463313;0.6686583204600582
5799;orleans;you've given me something;1975;pop;0.6382540885952561;0.6388995718278081;0.9288953009068426;0.6636531591377026
5819;frankie valli;swearin' to god;1975;pop;0.6198418715477094;0.7572750814039945;0.7815333882934873;0.8888854186437053
5912;emmylou harris;bottle let me down;1975;pop;0.6209249431387416;0.6529497730943773;0.7186727122835943;0.6136015459141466
6003;abba;hey, hey helen;1975;pop;0.6360879454131919;0.7445581109145449;0.7722588623248146;0.6636531591377026
6049;michael jackson;take me back;1975;pop;0.6415033033683527;0.6594877317129451;0.7846248969497115;0.730722320857268
